date,spendamt,nb_transactions
2019-12-07T00:00:00.000-06:00,840.0668769548315,1.6799289971276972
2019-12-14T00:00:00.000-06:00,6680.350005747162,150.59941064572627
2019-12-21T00:00:00.000-06:00,2710.9158366615225,23.740535978789914
2020-01-25T00:00:00.000-06:00,754.5680926181694,-6.214523095047944
2020-02-08T00:00:00.000-06:00,6068.67555455732,121.66023678106731
2020-02-22T00:00:00.000-06:00,19817.995953238853,213.39971645198096
2020-02-29T00:00:00.000-06:00,1829.7118341012947,5.503181922681816
2020-04-04T00:00:00.000-05:00,382.05281816444784,66.77907282479224
2020-04-11T00:00:00.000-05:00,454.7319964984147,-7.178398127104659
2020-04-25T00:00:00.000-05:00,-1190.05399512556,19.771949338281523
2020-05-23T00:00:00.000-05:00,-31.968538519690796,21.613505615946742
2020-06-06T00:00:00.000-05:00,864.8048168224386,8.784568127528928
2020-06-13T00:00:00.000-05:00,476.16689391285956,51.2460742928339
2020-06-20T00:00:00.000-05:00,1661.1228981482695,18.09310168135378
2020-06-27T00:00:00.000-05:00,1698.6115463010738,59.259297577360414
2020-07-04T00:00:00.000-05:00,319.6224685517169,22.336355550571774
2020-07-11T00:00:00.000-05:00,3818.452846090257,367.7812573250927
2020-07-18T00:00:00.000-05:00,591.011632130328,119.97674555648537
2020-07-25T00:00:00.000-05:00,-2371.0064586385834,15.831897630619466
2020-08-01T00:00:00.000-05:00,3054.0447825464917,169.96527262449746
2020-08-15T00:00:00.000-05:00,1459.7916379119833,164.87300913297642
2020-08-22T00:00:00.000-05:00,940.3293119643658,225.08903347197824
2020-08-29T00:00:00.000-05:00,9706.712131464063,1167.2149643155267
2020-09-05T00:00:00.000-05:00,5028.026883604354,725.7139968081613
2020-09-12T00:00:00.000-05:00,1420.5885530276382,756.4993832449834
2020-09-19T00:00:00.000-05:00,1664.8167249579753,248.94020658685804
2020-09-26T00:00:00.000-05:00,8095.500905237379,701.7972308625126
2020-10-03T00:00:00.000-05:00,5833.212905078527,1087.576649951683
2020-10-10T00:00:00.000-05:00,13170.830954883917,936.7531091975234
2020-10-17T00:00:00.000-05:00,6191.005478308521,989.5864753377011
2020-10-24T00:00:00.000-05:00,10923.662446902697,1749.0402232352203
2020-10-31T00:00:00.000-05:00,14656.499783399355,644.3477744534844
2020-11-07T00:00:00.000-06:00,5529.054171672276,1091.9777763435545
2020-11-14T00:00:00.000-06:00,9625.230231638274,1256.0229677136858
2020-11-21T00:00:00.000-06:00,28456.263904835032,2423.391332384576
2020-11-28T00:00:00.000-06:00,13534.387281758234,1350.9791546955503
2020-12-05T00:00:00.000-06:00,29769.223203522393,2104.2778033603945
2020-12-12T00:00:00.000-06:00,16966.729287913382,2978.162683808977
2020-12-19T00:00:00.000-06:00,10287.53553676717,1493.8052163018792
2020-12-26T00:00:00.000-06:00,12998.476269315117,1207.9252872442992
2021-01-02T00:00:00.000-06:00,16573.527660440144,974.0202917804535
2021-01-09T00:00:00.000-06:00,9722.08832132128,540.6152259440119
2021-01-16T00:00:00.000-06:00,6860.287522035299,556.1463188176812
2021-01-23T00:00:00.000-06:00,12521.877333495264,686.5058771608883
2021-01-30T00:00:00.000-06:00,15726.06994946116,887.9542619434842
2021-02-06T00:00:00.000-06:00,11667.446121249002,937.3287394381368
2021-02-13T00:00:00.000-06:00,12355.004020557237,945.872815234434
2021-02-20T00:00:00.000-06:00,14562.890216633314,914.0500941852224
2021-02-27T00:00:00.000-06:00,27186.747846633654,1008.2850998611856
2021-03-06T00:00:00.000-06:00,15022.249212652117,627.4192493469616
2021-03-13T00:00:00.000-06:00,12597.897966456925,691.1438853244188
2021-03-20T00:00:00.000-05:00,9814.830984703001,599.9945215809757
2021-03-27T00:00:00.000-05:00,16495.58310568944,1116.0377411940412
2021-04-03T00:00:00.000-05:00,11482.618184867359,669.6937275136172
2021-04-10T00:00:00.000-05:00,29058.21317054145,1147.0674929373085
2021-04-17T00:00:00.000-05:00,22804.622187754092,1042.5705919885345
2021-04-24T00:00:00.000-05:00,13626.369352538062,987.2134708178246
2021-05-01T00:00:00.000-05:00,21272.895641746905,1520.5261032247981
2021-05-08T00:00:00.000-05:00,23286.028910556623,1126.8178025776401
2021-05-15T00:00:00.000-05:00,20983.089742573495,1280.3998315359856
2021-05-22T00:00:00.000-05:00,27553.803755571338,1018.491667985974
2021-05-29T00:00:00.000-05:00,24135.2836685625,1016.3453625678715
2021-06-05T00:00:00.000-05:00,24350.00994727556,1380.6145827023001
2021-06-12T00:00:00.000-05:00,29039.799153343778,1277.1115074823806
2021-06-19T00:00:00.000-05:00,23785.76219967648,1098.219900589887
2021-06-26T00:00:00.000-05:00,25116.836785707375,1670.6781184367567
2021-07-03T00:00:00.000-05:00,25163.581239886997,1718.3910891047105
2021-07-10T00:00:00.000-05:00,23145.926945288633,1341.309572763317
2021-07-17T00:00:00.000-05:00,26470.710066853047,1915.3205411114807
2021-07-24T00:00:00.000-05:00,32042.517571883145,1498.3967298053442
2021-07-31T00:00:00.000-05:00,30056.222997505578,2229.341698620117
2021-08-07T00:00:00.000-05:00,25652.34931413398,1447.3256584914482
2021-08-14T00:00:00.000-05:00,25883.005001989237,1832.3096357124923
2021-08-21T00:00:00.000-05:00,36773.83962424417,2412.572974443103
2021-08-28T00:00:00.000-05:00,38794.72804523667,2325.742948891235
2021-09-04T00:00:00.000-05:00,21656.243030463047,1888.4765277724437
2021-09-11T00:00:00.000-05:00,42445.30706819514,3058.0757259443235
2021-09-18T00:00:00.000-05:00,46837.18577685121,1913.564190002404
