endofweek,spendamountusd,countamountusd
2016-05-28T00:00:00.000-05:00,11639.26639599592,-21.472561958245066
2016-11-26T00:00:00.000-06:00,-3723.456072351533,-6.7379182548704275
2017-05-13T00:00:00.000-05:00,3858.292174711909,-25.576731346400955
2017-05-27T00:00:00.000-05:00,5863.158459296952,-5.557012781730519
2017-06-03T00:00:00.000-05:00,720.2935888851305,19.405589917430863
2017-06-24T00:00:00.000-05:00,-5827.400818983373,28.045759391126573
2018-02-24T00:00:00.000-06:00,-4636.269046251965,20.945789618055905
2018-08-04T00:00:00.000-05:00,872.7431445719308,-5.177843745167858
2018-08-11T00:00:00.000-05:00,2713.1201374303173,12.397274879116015
2018-08-25T00:00:00.000-05:00,-1125.6596527911206,-3.540248657990512
2018-09-22T00:00:00.000-05:00,-8010.242184843401,1.4551168842190894
2018-09-29T00:00:00.000-05:00,5755.34809331537,138.07136985368032
2018-11-17T00:00:00.000-06:00,-8774.698908509352,-4.128639921232029
2018-12-08T00:00:00.000-06:00,-2571.4358827700094,-3.144245452749893
2018-12-29T00:00:00.000-06:00,-630.313680838726,11.944936118805277
2019-01-05T00:00:00.000-06:00,-2537.7171697577123,9.17555966851269
2019-01-12T00:00:00.000-06:00,14491.392643362942,2.8492309884035283
2019-01-19T00:00:00.000-06:00,-10994.371225747771,3.758453826817992
2019-01-26T00:00:00.000-06:00,15884.473951232496,15.962763660437746
2019-02-02T00:00:00.000-06:00,13629.563987071018,7.421227990858597
2019-02-09T00:00:00.000-06:00,-1084.79713691762,-1.7607156607727679
2019-02-16T00:00:00.000-06:00,-1258.670337776314,6.383551652304988
2019-02-23T00:00:00.000-06:00,-1074.6645326672374,-19.299238102273044
2019-03-02T00:00:00.000-06:00,3485.1364259578695,25.28445708548535
2019-03-09T00:00:00.000-06:00,-26445.598064438265,0.8518206960796901
2019-03-16T00:00:00.000-05:00,590.0762051034528,5.051470145648778
2019-03-23T00:00:00.000-05:00,18191.305336569465,-4.141412440912209
2019-03-30T00:00:00.000-05:00,-6848.382805081994,-19.116273238851825
2019-04-06T00:00:00.000-05:00,-1695.4566007607445,2.5099817760290417
2019-04-13T00:00:00.000-05:00,-4536.663842762562,-10.491448322446796
2019-04-20T00:00:00.000-05:00,-4720.771551566775,9.36655531182491
2019-04-27T00:00:00.000-05:00,-4894.79729737372,-15.729053094658866
2019-05-04T00:00:00.000-05:00,4828.855948706461,-3.442480668368143
2019-05-11T00:00:00.000-05:00,3472.350294867346,12.872796014498412
2019-05-18T00:00:00.000-05:00,11649.874976377654,3.2205983910571474
2019-05-25T00:00:00.000-05:00,807.5165078900147,17.753727599387368
2019-06-01T00:00:00.000-05:00,-2448.37258533332,-0.9225630868615395
2019-06-08T00:00:00.000-05:00,11113.25667950082,13.898175341164318
2019-06-15T00:00:00.000-05:00,-1440.4069548741436,-6.410244570279648
2019-06-22T00:00:00.000-05:00,10092.734793118387,16.509655003661365
2019-06-29T00:00:00.000-05:00,2462.5700398612034,13.778188727000936
2019-07-06T00:00:00.000-05:00,12269.658869936386,-12.164540686126536
2019-07-13T00:00:00.000-05:00,-6161.542048810747,17.242763174689717
2019-07-20T00:00:00.000-05:00,-3448.035429661366,16.2879967086797
2019-07-27T00:00:00.000-05:00,8390.456811064443,67.83964873315256
2019-08-03T00:00:00.000-05:00,7845.164940444986,51.00396819971617
2019-08-10T00:00:00.000-05:00,16052.22196360794,60.94882396484389
2019-08-17T00:00:00.000-05:00,20144.419450529975,45.50288482091882
2019-08-24T00:00:00.000-05:00,6734.073000781551,61.7431712865857
2019-08-31T00:00:00.000-05:00,27516.214274745627,81.91186383903303
2019-09-07T00:00:00.000-05:00,12856.858021757558,81.99021339889893
2019-09-14T00:00:00.000-05:00,3750.0704284390204,73.08150363274675
2019-09-21T00:00:00.000-05:00,25994.439169912795,150.76759124657295
2019-09-28T00:00:00.000-05:00,12738.139883430162,110.41844946752326
2019-10-05T00:00:00.000-05:00,17137.73261915041,124.47533113248747
2019-10-12T00:00:00.000-05:00,-10419.408473816482,47.37215720390155
2019-10-19T00:00:00.000-05:00,12648.966384887091,98.8546668309969
2019-10-26T00:00:00.000-05:00,-252.9993272756787,136.55797037052906
2019-11-02T00:00:00.000-05:00,19774.265218307184,132.98701186375268
2019-11-09T00:00:00.000-06:00,9554.548071361247,111.10478789936612
2019-11-16T00:00:00.000-06:00,19537.263118319985,140.2797191272055
2019-11-23T00:00:00.000-06:00,22230.73400146043,162.71866265820165
2019-11-30T00:00:00.000-06:00,24250.910560971297,220.5817121841116
2019-12-07T00:00:00.000-06:00,26702.95948856729,254.15740356319623
2019-12-14T00:00:00.000-06:00,4063811.806091901,37369.42658129755
2019-12-21T00:00:00.000-06:00,9102157.821360666,78955.81750512782
2019-12-28T00:00:00.000-06:00,12678092.97333723,109128.74391613695
2020-01-04T00:00:00.000-06:00,13467656.194630124,116712.95597732041
2020-01-11T00:00:00.000-06:00,15883398.624789957,134533.37512886903
2020-01-18T00:00:00.000-06:00,19690251.862288833,163733.0024333456
2020-01-25T00:00:00.000-06:00,22233504.427216604,185118.43553699658
2020-02-01T00:00:00.000-06:00,22755106.40763732,187298.20563408325
2020-02-08T00:00:00.000-06:00,22578002.79911407,188446.72247111367
2020-02-15T00:00:00.000-06:00,24513895.696334958,198609.5309082273
2020-02-22T00:00:00.000-06:00,24626857.148051277,200374.1150910463
2020-02-29T00:00:00.000-06:00,21856187.10054368,184020.75407600618
2020-03-07T00:00:00.000-06:00,19322735.223626263,165889.6008858314
